,zmu_origin,zmu_destination,OD_counts
1119,1001837,1001845,4
1120,1001837,1001845,4
1121,1001837,1001845,4
1122,1001837,1001938,1
1123,1001841,1001108,1
1124,1001842,1001712,4
1125,1001842,1001712,4
1126,1001842,1001712,4
1127,1001842,1001712,4
1128,1001842,1001804,3
1129,1001842,1001804,3
1130,1001842,1001804,3
1131,1001842,1001818,2
1132,1001842,1001818,2
1133,1001845,1001833,2
1134,1001845,1001833,2
1135,1001846,1000130,3
1136,1001846,1000130,3
1137,1001846,1000130,3
1138,1001846,1001603,1
1139,1001846,1001608,2
1140,1001846,1001608,2
1141,1001846,1058116,7
1142,1001846,1058116,7
1143,1001846,1058116,7
1144,1001846,1058116,7
1145,1001846,1058116,7
1146,1001846,1058116,7
1147,1001846,1058116,7
1148,1001848,1001835,2
1149,1001848,1001835,2
1150,1001856,1001520,2
1151,1001856,1001520,2
1152,1001857,1001942,1
1153,1001858,1001816,2
1154,1001858,1001816,2
1155,1001901,1001709,1
1156,1001902,1000132,3
1157,1001902,1000132,3
1158,1001902,1000132,3
1159,1001906,1001712,2
1160,1001906,1001712,2
1161,1001906,1001906,1
1162,1001906,1058075,1
1163,1001919,1001710,2
1164,1001919,1001710,2
1165,1001920,1001725,4
1166,1001920,1001725,4
1167,1001920,1001725,4
1168,1001920,1001725,4
1169,1001920,1001907,1
1170,1001927,1001202,3
1171,1001927,1001202,3
1172,1001927,1001202,3
1173,1001929,1001917,1
1174,1001934,1001934,1
1175,1001934,1002006,4
1176,1001934,1002006,4
1177,1001934,1002006,4
1178,1001934,1002006,4
1179,1001938,1001917,1
1180,1001938,1001938,3
1181,1001938,1001938,3
1182,1001938,1001938,3
1183,1001939,1001912,2
1184,1001939,1001912,2
1185,1001942,1001922,2
1186,1001942,1001922,2
1187,1001942,1001954,1
1188,1001948,1001920,4
1189,1001948,1001920,4
1190,1001948,1001920,4
1191,1001948,1001920,4
1192,1001948,1058116,1
1193,1001949,1001918,8
1194,1001949,1001918,8
1195,1001949,1001918,8
1196,1001949,1001918,8
1197,1001949,1001918,8
1198,1001949,1001918,8
1199,1001949,1001918,8
1200,1001949,1001918,8
1201,1001952,1000161,1
1202,1002003,1001957,1
1203,1002003,1002053,2
1204,1002003,1002053,2
1205,1002004,1002028,2
1206,1002004,1002028,2
1207,1002006,1000174,2
1208,1002006,1000174,2
1209,1002007,1000206,2
1210,1002007,1000206,2
1211,1002009,1058013,5
1212,1002009,1058013,5
1213,1002009,1058013,5
1214,1002009,1058013,5
1215,1002009,1058013,5
1216,1002012,1001389,1
1217,1002013,1002037,2
1218,1002013,1002037,2
1219,1002013,1002052,1
1220,1002015,1001942,1
1221,1002015,1002015,1
1222,1002016,1002013,1
1223,1002024,1002024,2
1224,1002024,1002024,2
1225,1002024,1058013,1
1226,1002024,1058054,1
1227,1002025,1058107,1
1228,1002027,1000461,3
1229,1002027,1000461,3
1230,1002027,1000461,3
1231,1002027,1001954,2
1232,1002027,1001954,2
1233,1002032,1002033,1
1234,1002033,1002032,1
1235,1002037,1002072,3
1236,1002037,1002072,3
1237,1002037,1002072,3
1238,1002038,1002039,4
1239,1002038,1002039,4
1240,1002038,1002039,4
1241,1002038,1002039,4
1242,1002038,1058038,1
1243,1002040,1058093,1
1244,1002050,1002003,1
1245,1002050,1002044,3
1246,1002050,1002044,3
1247,1002050,1002044,3
1248,1002054,1002070,1
1249,1002058,1002015,2
1250,1002058,1002015,2
1251,1002058,1002038,2
1252,1002058,1002038,2
1253,1002062,1001254,3
1254,1002062,1001254,3
1255,1002062,1001254,3
1256,1002066,1000170,2
1257,1002066,1000170,2
1258,1002075,1002013,2
1259,1002075,1002013,2
1260,1002075,1002037,9
1261,1002075,1002037,9
1262,1002075,1002037,9
1263,1002075,1002037,9
1264,1002075,1002037,9
1265,1002075,1002037,9
1266,1002075,1002037,9
1267,1002075,1002037,9
1268,1002075,1002037,9
1269,1002078,1002052,2
1270,1002078,1002052,2
1271,1058003,1058003,10
1272,1058003,1058003,10
1273,1058003,1058003,10
1274,1058003,1058003,10
1275,1058003,1058003,10
1276,1058003,1058003,10
1277,1058003,1058003,10
1278,1058003,1058003,10
1279,1058003,1058003,10
1280,1058003,1058003,10
1281,1058003,1058009,2
1282,1058003,1058009,2
1283,1058003,1058043,3
1284,1058003,1058043,3
1285,1058003,1058043,3
1286,1058003,1058124,1
1287,1058005,1001408,2
1288,1058005,1001408,2
1289,1058005,1058005,6
1290,1058005,1058005,6
1291,1058005,1058005,6
1292,1058005,1058005,6
1293,1058005,1058005,6
1294,1058005,1058005,6
1295,1058008,1058008,1
1296,1058009,1058009,3
1297,1058009,1058009,3
1298,1058009,1058009,3
1299,1058009,1058022,1
1300,1058009,1058117,2
1301,1058009,1058117,2
1302,1058011,1058011,6
1303,1058011,1058011,6
1304,1058011,1058011,6
1305,1058011,1058011,6
1306,1058011,1058011,6
1307,1058011,1058011,6
1308,1058012,1058012,1
1309,1058013,1058013,9
1310,1058013,1058013,9
1311,1058013,1058013,9
1312,1058013,1058013,9
1313,1058013,1058013,9
1314,1058013,1058013,9
1315,1058013,1058013,9
1316,1058013,1058013,9
1317,1058013,1058013,9
1318,1058013,1058116,4
1319,1058013,1058116,4
1320,1058013,1058116,4
1321,1058013,1058116,4
1322,1058015,1001717,3
1323,1058015,1001717,3
1324,1058015,1001717,3
1325,1058016,1058016,8
1326,1058016,1058016,8
1327,1058016,1058016,8
1328,1058016,1058016,8
1329,1058016,1058016,8
1330,1058016,1058016,8
1331,1058016,1058016,8
1332,1058016,1058016,8
1333,1058018,1058018,3
1334,1058018,1058018,3
1335,1058018,1058018,3
1336,1058023,1058023,9
1337,1058023,1058023,9
1338,1058023,1058023,9
1339,1058023,1058023,9
1340,1058023,1058023,9
1341,1058023,1058023,9
1342,1058023,1058023,9
1343,1058023,1058023,9
1344,1058023,1058023,9
1345,1058023,1058053,2
1346,1058023,1058053,2
1347,1058023,1058104,2
1348,1058023,1058104,2
1349,1058029,1058029,14
1350,1058029,1058029,14
1351,1058029,1058029,14
1352,1058029,1058029,14
1353,1058029,1058029,14
1354,1058029,1058029,14
1355,1058029,1058029,14
1356,1058029,1058029,14
1357,1058029,1058029,14
1358,1058029,1058029,14
1359,1058029,1058029,14
1360,1058029,1058029,14
1361,1058029,1058029,14
1362,1058029,1058029,14
1363,1058029,1058116,7
1364,1058029,1058116,7
1365,1058029,1058116,7
1366,1058029,1058116,7
1367,1058029,1058116,7
1368,1058029,1058116,7
1369,1058029,1058116,7
1370,1058031,1058031,3
1371,1058031,1058031,3
1372,1058031,1058031,3
