,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
11983,3.88,483,258.0,1002062,22.0,Roma,Cesano,12700,12,276
11984,19.61,868,102.0,1000545,6.0,Roma,Pietralata,43500,45,382
11985,9.8,868,102.0,1000545,3.0,Roma,Pietralata,69000,57,2
11986,3.29,1194,3038.0,1001227,6.0,Roma,Tor de' Cenci,5690,11,466
11987,7.52,1201,4256.0,1001218,17.0,Roma,Fonte Ostiense,5475,13,162
11988,5.74,640,2263.0,1001363,11.0,Roma,Acilia Sud,3346,7,106
11989,1.32,1194,3038.0,1001227,20.0,Roma,Tor de' Cenci,5175,11,102
11990,2.89,1152,5882.0,1001108,18.0,Roma,Ostiense,9058,14,683
11991,7.24,1194,3038.0,1001227,12.0,Roma,Tor de' Cenci,6109,12,613
11992,3.24,1029,3086.0,1000936,9.0,Roma,Appio-Latino,4880,10,254
11993,0.68,1016,5914.0,1000935,18.0,Roma,Appio-Latino,6450,14,207
11994,0.57,277,5233.0,1001958,22.0,Roma,Della Vittoria,10233,17,190
11995,0.85,470,1177.0,1002063,23.0,Roma,Della Vittoria,7700,10,217
11996,7.8,824,641.0,1000451,18.0,Roma,Monte Sacro,12020,24,119
11997,2.59,1029,3086.0,1000936,12.0,Roma,Appio-Latino,1800,6,30
11998,5.97,516,837.0,1000906,17.0,Roma,Tuscolano,2200,8,291
11999,4.65,790,1937.0,1000332,8.0,Roma,Nomentano,10777,18,765
12000,7.24,244,829.0,1001722,10.0,Roma,Della Vittoria,11350,18,186
12001,3.6,677,555.0,1000217,4.0,Roma,Trieste,20600,36,1431
12002,1.25,184,803.0,1000101,21.0,Roma,Ponte,4300,13,182
12003,1.45,538,5503.0,1000127,17.0,Roma,Esquilino,4275,18,1531
12004,4.47,1109,7389.0,1001614,11.0,Roma,Gianicolense,4554,10,289
12005,3.63,54,7156.0,1058023,3.0,Castel madama,,7442,11,784
12006,2.89,707,3117.0,1000119,14.0,Roma,San Saba,4166,10,167
12007,4.49,707,3117.0,1000119,12.0,Roma,San Saba,3407,11,34
12008,2.27,687,4839.0,1000122,10.0,Roma,Testaccio,2800,11,227
12009,2.07,687,4839.0,1000122,9.0,Roma,Testaccio,2850,10,379
12010,483.87,675,31.0,1000240,14.0,Roma,Parioli,2746,9,86
12011,8.36,708,837.0,1000121,10.0,Roma,Ostiense,5371,13,171
12012,13.33,355,225.0,1000195,10.0,Roma,Trevi,3300,12,12
12013,1.05,702,1910.0,1000138,14.0,Roma,Monti,23400,57,120
