,counts,index_zmu,POP_TOT_ZMU,zmu,hr,day,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13907,0.68,981,1463.0,1000856,11.0,2022-10-20,Roma,Don Bosco,3500.0,8.0,14.0
13908,0.23,695,4377.0,1001533,5.0,2022-10-20,Roma,Portuense,1700.0,6.0,817.0
13909,0.79,639,1269.0,1001547,13.0,2022-10-20,Roma,Portuense,1000.0,3.0,1.0
13910,5.39,1187,371.0,1001207,3.0,2022-10-20,Roma,Europa,10500.0,13.0,859.0
13911,0.56,916,1788.0,1000547,9.0,2022-10-20,Roma,Ponte Mammolo,3200.0,7.0,17.0
13912,0.32,275,3164.0,1000558,9.0,2022-10-20,Roma,Ponte Mammolo,800.0,2.0,2.0
13913,0.28,904,3616.0,1000535,9.0,2022-10-20,Roma,Pietralata,2900.0,6.0,22.0
13914,0.28,904,3616.0,1000535,15.0,2022-10-20,Roma,Pietralata,1400.0,6.0,93.0
13915,1.19,153,840.0,1001726,13.0,2022-10-20,Roma,Prati,3600.0,21.0,79.0
13916,0.15,952,6605.0,1000719,5.0,2022-10-20,Roma,Prenestino-Centocelle,6700.0,22.0,742.0
13917,1.04,270,962.0,1000732,7.0,2022-10-20,Roma,Torre Spaccata,15800.0,45.0,98.0
13918,0.15,952,6605.0,1000719,13.0,2022-10-20,Roma,Prenestino-Centocelle,9200.0,33.0,19.0
13919,1.55,984,645.0,1000807,17.0,2022-10-20,Roma,Torrenova,6400.0,18.0,83.0
13920,0.19,884,5285.0,1000515,10.0,2022-10-20,Roma,San Basilio,1600.0,3.0,6.0
13921,0.41,861,2419.0,1000550,11.0,2022-10-20,Roma,Ponte Mammolo,3200.0,7.0,69.0
13922,1.24,910,805.0,1000542,15.0,2022-10-20,Roma,San Basilio,4300.0,17.0,61.0
13923,0.19,884,5285.0,1000515,17.0,2022-10-20,Roma,San Basilio,2100.0,4.0,17.0
13924,1.79,1024,560.0,1000951,14.0,2022-10-20,Roma,Tuscolano,600.0,3.0,15.0
