,zmu,index_zmu,idtrajectory,zmu_destination
2460,1000501,873.0,37598589,1000533
2461,1000533,902.0,5395482,1000402
2462,1001941,2.0,80833716,1001942
2463,1058009,45.0,62867976,1058003
2464,1001615,214.0,37234583,1001602
2465,1000530,899.0,80844277,1000254
2466,1001253,1238.0,69326169,1001217
2467,1000812,993.0,37574287,1000826
2468,1000421,809.0,37536795,1000442
2469,1058079,181.0,69333119,1001140
2470,1001917,29.0,31637155,1001912
2471,1001214,632.0,15403487,1001256
2472,1001808,300.0,80971780,1001916
2473,1058047,22.0,80932685,1001628
2474,1000131,697.0,69242664,1002010
2475,1000503,872.0,37295929,1000301
2476,1001705,380.0,36539305,1001953
2477,1058098,579.0,31822433,1058047
2478,1058074,69.0,5520827,1058040
2479,1001266,1244.0,16093334,1001139
2480,1000415,807.0,69380653,1000132
2481,1001933,392.0,31723901,1001918
2482,1058047,22.0,15351027,1058104
2483,1002078,472.0,32746692,1000258
2484,1002031,446.0,69415121,1002078
2485,1001265,1246.0,69479642,1001250
2486,1001250,127.0,63976763,1001265
2487,1000703,942.0,80846783,1000604
2488,1000604,927.0,69287889,1000703
2489,1000915,211.0,63979824,1000921
2490,1001505,207.0,31818187,1001816
2491,1000921,346.0,16586073,1001134
2492,1001904,258.0,62972986,1002073
2493,1002003,416.0,5520634,1000205
2494,1000485,217.0,61400718,1000524
2495,1058088,571.0,33016157,1058086
2496,1001031,624.0,80922114,1001032
2497,1001032,1085.0,37682226,1000801
2498,1058057,62.0,31819712,1000926
2499,1001334,1292.0,63578083,1001355
2500,1001116,1160.0,31637577,1001224
2501,1058022,663.0,69550363,1058003
2502,1000726,964.0,33004661,1001807
2503,1001837,343.0,62861454,1001732
2504,1000704,945.0,81025560,1000720
2505,1000720,943.0,50691393,1000704
2506,1000905,1031.0,69315527,1000928
2507,1000928,1040.0,5513302,1000208
2508,1002070,475.0,69538434,1002012
2509,1002012,430.0,63605560,1058018
2510,1001352,1306.0,37534150,1001325
2511,1001325,1279.0,31763917,1001346
2512,1001521,317.0,5367991,1001114
2513,1001937,398.0,72823861,1001950
2514,1000527,894.0,16650585,1058059
2515,1001349,1237.0,69359914,1001329
2516,1001329,1282.0,63630814,1001349
2517,1001349,1237.0,16063364,1001954
2518,1000460,833.0,31821927,1000404
2519,1001717,269.0,16486733,1001016
2520,1002028,444.0,80983194,1058047
2521,1058047,22.0,31732128,1058122
2522,1000203,738.0,36582517,1000223
2523,1000223,752.0,31662415,1000264
2524,1001386,129.0,69241431,1001336
2525,1001336,1290.0,63633930,1001386
2526,1000501,873.0,63027769,1001040
2527,1002052,468.0,32974300,1000212
2528,1000419,808.0,31716841,1001531
2529,1002028,444.0,16059737,1002009
2530,1000477,1314.0,37592452,1000512
2531,1000479,855.0,16468973,1000402
2532,1001509,260.0,31787907,1001638
2533,1000935,1016.0,5188520,1000563
2534,1000231,670.0,32697688,1001709
2535,1000529,897.0,81009019,1000530
2536,1000530,899.0,69290434,1000529
2537,1000711,939.0,31667341,1000267
2538,1058124,608.0,80930538,1058125
2539,1058104,76.0,37225687,1058047
2540,1058047,22.0,16039984,1058104
2541,1058060,63.0,37564134,1001016
2542,1001919,332.0,16451410,1001901
2543,1000441,822.0,80884744,1000489
2544,1000485,217.0,69337027,1000130
2545,1001351,1304.0,32653770,1058117
2546,1058047,22.0,5437941,1058104
2547,1000460,833.0,31820185,1000441
2548,1000206,746.0,69395741,1001703
2549,1000222,756.0,69230307,1000241
2550,1000225,253.0,31828754,1000222
2551,1001210,230.0,31714639,1001204
2552,1001957,195.0,32738028,1001901
2553,1000604,927.0,69359137,1000703
2554,1001033,1086.0,80989247,1000703
2555,1058005,46.0,63015669,1002011
2556,1001265,1246.0,69341429,1001259
2557,1001265,1246.0,62967083,1001223
2558,1001816,305.0,38005023,1001830
