,zmu,index_zmu,idtrajectory,zmu_destination
2401,1000705,601,58820755,1000604
2402,1000712,944,59272990,1000517
2403,1000510,877,58416099,1000617
2404,1000414,812,58350966,1000412
2405,1000812,993,58826025,1000858
2406,1000858,182,59229393,1000813
2407,1001540,263,58743406,1058043
2408,1058029,56,58837235,1000199
2409,1058026,508,58818040,1058074
2410,1000934,1020,58352757,1000923
2411,1000926,991,58769725,1058003
2412,1000936,1029,58414953,1000926
2413,1000938,1005,58398833,1000936
2414,1000923,934,58377374,1000948
2415,1000130,668,58808883,1000901
2416,1000128,591,58790350,1000130
2417,1000939,283,59237815,1000128
2418,1000953,923,59211468,1000939
2419,1001507,213,58829264,1001527
2420,1001411,287,58344808,1001534
2421,1001534,136,58829399,1001507
2422,1001231,1224,59252975,1001263
2423,1001263,1243,58415652,1001231
2424,1001216,1195,58359592,1001263
2425,1001204,1182,58327587,1001216
2426,1058047,22,58415710,1058065
2427,1058116,602,59265979,1058029
2428,1001045,1142,58315563,1001005
2429,1058047,22,58361463,1058104
2430,1001266,1244,58839684,1001137
2431,1001137,1165,58353102,1001266
2432,1058072,30,59242620,1058007
2433,1058007,495,59217153,1058072
2434,1058034,515,58401578,1001271
2435,1001937,398,58848078,1001837
2436,1001926,383,58842068,1001945
2437,1001937,398,58396028,1001926
2438,1001711,236,59228294,1001933
2439,1001920,378,59204149,1001929
2440,1001724,1050,58846640,1001920
2441,1001929,365,59226625,1001724
2442,1001825,324,58812511,1001724
2443,1001377,1100,58839137,1001382
2444,1001382,1107,58775457,1001377
2445,1000442,834,58795275,1000420
2446,1000442,834,59218817,1000420
2447,1001045,1142,58818686,1001023
2448,1001017,546,58404629,1001007
2449,1001003,1052,58356094,1001017
2450,1002054,298,58346455,1058039
2451,1000713,953,59234001,1000539
2452,1000182,239,59251196,1000310
2453,1058119,10,58763725,1058074
2454,1000843,1019,58409677,1058119
2455,1000843,1019,59213387,1000814
2456,1000814,995,58831282,1000843
2457,1001521,317,58831310,1001519
2458,1001827,331,59227564,1001810
2459,1001917,29,58767621,1001827
2460,1001833,340,58416615,1001917
2461,1001053,284,58317703,1001005
2462,1000528,895,58341372,1000552
2463,1001001,629,59231972,1000828
2464,1001005,1055,58806553,1001001
2465,1000828,985,58758482,1001005
