index_zmu;POP_TOT_ZMU;zmu;comune;nome_comun;quartiere;pgtu;municipio;OperatorInfo;NumberOfPoints;ID;city;Connection_TypeID;Connection_ID;Power;charging_stations
181.0;61346;1058079;58079;Pomezia;;7;;EnelX ADS Eni Pomezia;3;57867;Pomezia;2;72690;43;1
181.0;61346;1058079;58079;Pomezia;;7;;POMEZIA Copernico | ENELX;2;148732;Pomezia;36;206000;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;POMEZIA Copernico | ENELX;2;148732;Pomezia;25;205999;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Cincinnato | EnelX;2;148731;Pomezia;36;205998;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Cincinnato | EnelX;2;148731;Pomezia;25;205997;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Simon Hotel Pomezia | E-Station;1;174826;Pomezia;25;270276;11;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Varrone;2;113990;Pomezia;25;160165;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Varrone;2;113990;Pomezia;36;160166;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrive Municipio di Pomezia;1;57865;Pomezia;36;72685;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrive Municipio di Pomezia;1;57865;Pomezia;25;72684;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Cavour | EnelX;2;148730;Pomezia;36;205996;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Cavour | EnelX;2;148730;Pomezia;25;205995;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Via Roma | EnelX;2;113989;Pomezia;25;160163;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Via Roma | EnelX;2;113989;Pomezia;36;160164;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrive Via dei Castelli Romani;1;57866;Pomezia;25;72686;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrive Via dei Castelli Romani;1;57866;Pomezia;36;72687;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;McDonald's POMEZIA | ENELX;2;171010;Pomezia;36;260579;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;McDonald's POMEZIA | ENELX;2;171010;Pomezia;25;260578;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrvie Stazione Santa Palomba;2;91460;Pomezia ;25;129193;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrvie Stazione Santa Palomba;2;91460;Pomezia ;36;129194;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Santa Palomba Fiorucci | EnelX;2;133169;Pomezia;25;186054;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Santa Palomba Fiorucci | EnelX;2;133169;Pomezia;36;186055;3.7;1
186.0;8340;1001407;58120;Fiumicino;;7;;Aranova Rosi | EnelX;2;115487;Fiumicino;25;162055;22;1
186.0;8340;1001407;58120;Fiumicino;;7;;Aranova Rosi | EnelX;2;115487;Fiumicino;36;162056;3.7;1
186.0;8340;1001407;58120;Fiumicino;;7;;Stazione Torre In Pietra - Palidoro | EnelX;2;115486;Fiumicino;36;162054;3.7;1
186.0;8340;1001407;58120;Fiumicino;;7;;Stazione Torre In Pietra - Palidoro | EnelX;2;115486;Fiumicino;25;162053;22;1
192.0;225;1000141;58091;Roma;Colonna;1;1.0;Roma Crispi | EnelX;2;58121;Roma;25;73159;3;1
192.0;225;1000141;58091;Roma;Colonna;1;1.0;Roma Crispi | EnelX;2;58121;Roma;36;73160;3;1
196.0;0;1001004;58091;Roma;Don Bosco;3;7.0;Eneldrive Cinecittà;2;58087;Roma;36;73097;3;1
196.0;0;1001004;58091;Roma;Don Bosco;3;7.0;Eneldrive Cinecittà;2;58087;Roma;25;73096;3;1
203.0;7039;1001529;58091;Roma;Portuense;3;11.0;Garage Berardo | EnelX;2;128483;Roma;25;179308;22;1
207.0;4884;1001505;58091;Roma;Portuense;3;11.0;Autorimessa Fantilli | EnelX;2;130230;Roma;25;181872;22;1
214.0;3513;1001615;58091;Roma;Gianicolense;2;12.0;Eneldrive Park Trastevere ATAC;2;58226;Roma;36;73398;3;1
214.0;3513;1001615;58091;Roma;Gianicolense;2;12.0;Eneldrive Park Trastevere ATAC;2;58226;Roma;25;73397;3;1
217.0;4519;1000485;58091;Roma;Monte Sacro;3;3.0;Via Valtravaglia;4;194116;Rome;25;315411;22;1
217.0;4519;1000485;58091;Roma;Monte Sacro;3;3.0;Via Valtravaglia;4;194116;Rome;36;315412;3.7;1
221.0;6398;1000603;58091;Roma;Prenestino-Labicano;3;5.0;Acea Piazza Roberto Malatesta;1;211318;Roma;1036;351586;43;1
221.0;6398;1000603;58091;Roma;Prenestino-Labicano;3;5.0;Acea Piazza Roberto Malatesta;1;211318;Roma;33;351584;50;1
221.0;6398;1000603;58091;Roma;Prenestino-Labicano;3;5.0;Acea Piazza Roberto Malatesta;1;211318;Roma;2;351585;50;1
