,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13589,666.67,459,3.0,1002044,10.0,Roma,Prima Porta,4950,9,1277
13590,666.67,459,3.0,1002044,7.0,Roma,Prima Porta,11950,10,472
13591,1333.33,459,3.0,1002044,9.0,Roma,Prima Porta,14325,15,2099
13592,107.14,635,28.0,1001366,16.0,Roma,Casal Palocco,1533,5,197
13593,3.41,1263,1173.0,1001308,17.0,Roma,Casal Palocco,9500,24,71
13594,1.45,929,5515.0,1000616,15.0,Roma,Prenestino-Labicano,4687,18,223
13595,4.82,898,415.0,1001738,20.0,Roma,Della Vittoria,3550,8,73
13596,2.28,767,3074.0,1000250,18.0,Roma,Trieste,4942,13,1774
13597,1.99,200,1004.0,1001742,21.0,Roma,Della Vittoria,5350,9,95
13598,0.31,338,3241.0,1001836,1.0,Roma,Primavalle,5400,11,5
13599,3000.0,183,1.0,1001741,5.0,Roma,Della Vittoria,7566,49,2566
13600,1.99,200,1004.0,1001742,20.0,Roma,Della Vittoria,7850,16,76
13601,9.9,891,202.0,1000618,15.0,Roma,Prenestino-Labicano,2300,11,2458
13602,6.51,541,2150.0,1001713,11.0,Roma,Trionfale,4071,14,149
13603,13.27,244,829.0,1001722,8.0,Roma,Della Vittoria,14081,31,1579
13604,3.15,228,2221.0,1000922,8.0,Roma,Tuscolano,15528,36,25
13605,3.95,1194,3038.0,1001227,9.0,Roma,Tor de' Cenci,3933,10,426
13606,7.26,828,1654.0,1000458,13.0,Roma,Monte Sacro,2433,8,629
13607,5.6,848,4109.0,1000466,16.0,Roma,Castel Giubileo,7726,13,397
13608,1.87,740,1602.0,1000452,14.0,Roma,Monte Sacro,6500,13,57
13609,4.38,848,4109.0,1000466,14.0,Roma,Castel Giubileo,5488,12,69
13610,2.46,283,2030.0,1000939,17.0,Roma,Tuscolano,11140,25,139
13611,68.97,1225,203.0,1001232,6.0,Roma,Vallerano,11771,26,815
13612,3.1,210,1289.0,1000204,21.0,Roma,Pinciano,3425,6,171
13613,22.94,768,218.0,1000254,7.0,Roma,Pinciano,9860,31,639
13614,1.83,1005,2188.0,1000938,18.0,Roma,Tuscolano,10300,17,230
13615,0.8,1088,6239.0,1001034,22.0,Roma,Torrenova,2960,5,167
13616,0.61,32,17912.0,1058114,3.0,Zagarolo,,9536,13,588
13617,1.33,10,15746.0,1058119,21.0,San cesareo,,15471,18,561
13618,55.56,1026,18.0,1000854,12.0,Roma,Torre Angela,15300,31,138
13619,0.76,559,6537.0,1058073,4.0,Olevano romano,,5200,8,353
13620,5.94,465,505.0,1000186,14.0,Roma,Castro Pretorio,2900,13,205
13621,26.51,238,415.0,1001743,9.0,Roma,Della Vittoria,10654,19,610
13622,1.53,688,1967.0,1002066,21.0,Roma,Tor di Quinto,3400,12,248
13623,1.14,607,6124.0,1001008,20.0,Roma,Appio Claudio,7585,19,203
13624,2.19,221,6398.0,1000603,12.0,Roma,Prenestino-Labicano,6435,14,114
13625,4.42,907,1357.0,1000612,12.0,Roma,Prenestino-Labicano,3566,11,97
13626,5.9,907,1357.0,1000612,17.0,Roma,Prenestino-Labicano,5925,25,226
13627,3.68,907,1357.0,1000612,16.0,Roma,Prenestino-Labicano,4100,15,529
13628,6.25,950,800.0,1000708,8.0,Roma,Tor Sapienza,11220,18,322
13629,7.38,930,542.0,1000605,17.0,Roma,Prenestino-Labicano,4225,12,40
13630,8.07,1295,3098.0,1001343,10.0,Roma,Castel Fusano,4596,8,388
13631,5.11,965,6460.0,1000727,7.0,Roma,Alessandrino,5760,11,536
13632,2.47,1023,9710.0,1000851,8.0,Roma,Torre Angela,4145,9,264
13633,2.94,965,6460.0,1000727,10.0,Roma,Alessandrino,4873,13,183
13634,4.53,1023,9710.0,1000851,17.0,Roma,Torre Angela,8347,19,218
13635,14.08,730,1563.0,1000164,5.0,Roma,Trastevere,6263,21,602
13636,8.99,522,556.0,1000907,14.0,Roma,Tuscolano,6020,17,212
13637,1.94,1032,5158.0,1000863,5.0,Roma,Borghesiana,3060,10,760
13638,3.19,1023,9710.0,1000851,6.0,Roma,Torre Angela,2919,8,267
13639,5.05,1023,9710.0,1000851,16.0,Roma,Torre Angela,6234,15,158
13640,8.43,1024,593.0,1000951,14.0,Roma,Tuscolano,8320,16,26
13641,3.3,100,2427.0,1000326,10.0,Roma,Nomentano,10762,22,37
13642,5.86,666,1024.0,1000308,9.0,Roma,Tiburtino,7650,20,15
13643,68.97,779,145.0,1000302,8.0,Roma,Nomentano,4050,11,732
13644,15.38,863,1105.0,1000490,9.0,Roma,Monte Sacro Alto,3847,10,340
13645,2.97,775,2695.0,1000279,12.0,Roma,Trieste,11237,23,1944
13646,13.99,1008,429.0,1000833,12.0,Roma,Acqua Vergine,5566,10,43
13647,0.99,953,7049.0,1000713,20.0,Roma,Tor Sapienza,12185,16,136
13648,3.34,775,2695.0,1000279,16.0,Roma,Trieste,7666,20,222
13649,11.38,287,1230.0,1001411,15.0,Fiumicino,,7021,12,290
13650,70.59,1289,170.0,1001417,4.0,Fiumicino,,9333,21,1280
13651,5.29,1160,4914.0,1001116,4.0,Roma,Ardeatino,10915,19,784
13652,12.13,290,1154.0,1000835,17.0,Roma,Lunghezza,14450,20,61
13653,3.47,290,1154.0,1000835,19.0,Roma,Lunghezza,14250,16,197
13654,1.35,810,5938.0,1000412,19.0,Roma,Castel Giubileo,12875,19,112
13655,1.73,290,1154.0,1000835,20.0,Roma,Lunghezza,21950,21,74
13656,7.38,953,7049.0,1000713,16.0,Roma,Tor Sapienza,5203,12,195
13657,0.57,953,7049.0,1000713,3.0,Roma,Tor Sapienza,15600,16,159
13658,3.47,98,2880.0,1000252,13.0,Roma,Trieste,10500,20,169
13659,14.71,885,68.0,1000520,11.0,Roma,Pietralata,10300,16,21
13660,7.35,507,2040.0,1000481,15.0,Roma,Monte Sacro Alto,2606,10,990
13661,28.17,3,71.0,1000456,11.0,Roma,Marcigliana,37050,33,2203
13662,25.64,1014,78.0,1000840,11.0,Roma,Torre Angela,7550,16,38
13663,64.1,1014,78.0,1000840,17.0,Roma,Torre Angela,7160,18,36
13664,5.36,1164,5966.0,1001119,11.0,Roma,Ardeatino,8793,14,830
13665,3.52,1164,5966.0,1001119,12.0,Roma,Ardeatino,4757,11,258
13666,3.62,295,3035.0,1001806,16.0,Roma,Primavalle,6809,19,483
13667,1.38,387,2909.0,1001931,17.0,Roma,Primavalle,7700,19,128
13668,1.63,394,3670.0,1000104,20.0,Roma,Ponte,5666,12,377
13669,8.98,496,668.0,1058021,11.0,Casape,,26233,33,252
13670,2.22,901,1351.0,1000627,20.0,Roma,Prenestino-Labicano,13900,28,1043
13671,2.99,496,668.0,1058021,14.0,Casape,,16500,23,102
13672,2.59,643,1545.0,1000617,20.0,Roma,Prenestino-Labicano,8800,23,157
13673,0.56,980,10671.0,1000805,21.0,Roma,Torrenova,4366,9,112
13674,0.98,1033,2038.0,1000864,22.0,Roma,Torre Maura,7500,14,52
13675,0.32,1088,6239.0,1001034,0.0,Roma,Torrenova,6100,9,201
13676,0.33,32,17912.0,1058114,0.0,Zagarolo,,11000,13,111
13677,0.21,990,4793.0,1000809,21.0,Roma,Torrenova,14500,21,1199
13678,0.17,32,17912.0,1058114,23.0,Zagarolo,,17800,25,119
13679,0.42,990,4793.0,1000809,20.0,Roma,Torrenova,11200,20,1293
13680,13.86,290,1154.0,1000835,11.0,Roma,Lunghezza,9625,15,67
13681,13.47,496,668.0,1058021,16.0,Casape,,5222,10,90
13682,8.98,496,668.0,1058021,15.0,Casape,,3050,8,280
13683,1.75,566,2281.0,1058078,6.0,Poli,,4375,8,1197
13684,2.0,547,7014.0,1058056,11.0,Marcellina,,17421,20,652
13685,2.85,547,7014.0,1058056,12.0,Marcellina,,7270,11,416
13686,4.66,96,2788.0,1058096,13.0,San polo dei cava,,7407,11,195
13687,3.23,96,2788.0,1058096,14.0,San polo dei cava,,4377,8,236
13688,8.25,96,2788.0,1058096,16.0,San polo dei cava,,7569,16,78
13689,0.32,65,12688.0,1058075,20.0,Palombara sabina,,3150,6,227
13690,4.19,692,4294.0,1000103,16.0,Roma,Regola,8622,27,230
13691,46.98,1162,149.0,1001117,12.0,Roma,Ardeatino,7185,15,280
13692,3.97,510,1258.0,1058030,17.0,Ciciliano,,5980,7,379
13693,6.36,510,1258.0,1058030,16.0,Ciciliano,,11487,17,640
13694,0.79,510,1258.0,1058030,19.0,Ciciliano,,3400,4,71
13695,1.22,42,10644.0,1058018,19.0,Capena,,15823,13,968
13696,54.73,840,201.0,1000446,8.0,Roma,Casal Boccone,10245,11,289
13697,7.15,510,1258.0,1058030,12.0,Ciciliano,,10155,15,270
13698,2.42,1175,3300.0,1000629,7.0,Roma,Prenestino-Labicano,6425,20,1532
13699,3.87,810,5938.0,1000412,17.0,Roma,Castel Giubileo,3360,12,88
13700,0.36,929,5515.0,1000616,19.0,Roma,Prenestino-Labicano,12950,25,634
13701,1.27,929,5515.0,1000616,7.0,Roma,Prenestino-Labicano,7714,21,201
13702,3.8,806,3154.0,1000433,17.0,Roma,Val Melaina,5583,17,123
13703,1.27,929,5515.0,1000616,14.0,Roma,Prenestino-Labicano,3414,15,104
13704,12.27,672,1630.0,1001532,6.0,Roma,Portuense,2710,8,276
13705,5.53,165,723.0,1001959,7.0,Roma,Casalotti,22850,25,354
13706,5.53,165,723.0,1001959,9.0,Roma,Casalotti,4350,6,42
13707,3.38,1074,1481.0,1001402,11.0,Fiumicino,,7660,10,139
13708,0.07,331,13428.0,1001827,3.0,Roma,Casalotti,38700,26,701
13709,0.27,422,7415.0,1001954,3.0,Roma,Casalotti,43400,33,567
13710,0.4,422,7415.0,1001954,4.0,Roma,Casalotti,21833,23,512
13711,0.7,1286,8588.0,1001335,6.0,Roma,Lido di Ostia Ponente,7383,16,528
13712,2.07,178,966.0,1001923,9.0,Roma,La Storta,20100,21,424
13713,15.21,354,263.0,1001857,12.0,Roma,Casalotti,5575,7,95
13714,5.53,165,723.0,1001959,16.0,Roma,Casalotti,8325,20,53
13715,4.15,165,723.0,1001959,18.0,Roma,Casalotti,13566,14,283
13716,2.99,496,668.0,1058021,7.0,Casape,,2250,5,560
13717,0.47,946,4211.0,1000867,23.0,Roma,Borghesiana,10150,15,236
